,Team,Season,Record,Loss Streaks in season,Finals Stats,Phil Jackson Achieved
370,Celtics,1987-88,57-25,6,CF Exit,True
371,Bulls,1987-88,50-32,7,CSF Exit,False
372,Rockets,1987-88,46-36,10,FR Exit,False
373,Clippers,1987-88,17-65,14,Not Qualified,False
374,Cavaliers,1987-88,42-40,10,FR Exit,False
375,Warriors,1987-88,20-62,15,Not Qualified,False
376,Celtics,1988-89,42-40,9,FR Exit,False
377,Jazz,1988-89,51-31,7,FR Exit,False
378,SuperSonics,1988-89,47-35,7,CSF Exit,False
379,Hornets,1988-89,20-62,17,Not Qualified,False
380,Heat,1988-89,15-67,11,Not Qualified,False
381,Suns,1988-89,55-27,6,CF Exit,True
382,Trail Blazers,1988-89,39-43,9,FR Exit,False
383,Lakers,1988-89,57-25,5,Runner Up,True
384,Kings,1988-89,27-55,14,Not Qualified,False
385,Bucks,1988-89,49-33,8,CSF Exit,True
386,Bulls,1988-89,47-35,6,CF Exit,False
387,Nets,1988-89,26-56,12,Not Qualified,False
388,76ers,1988-89,46-36,9,FR Exit,False
389,Rockets,1988-89,45-37,10,FR Exit,False
390,Pacers,1988-89,28-54,9,Not Qualified,False
391,Clippers,1988-89,21-61,12,Not Qualified,False
392,Spurs,1988-89,21-61,9,Not Qualified,False
393,Nuggets,1988-89,44-38,10,FR Exit,False
394,Bullets,1988-89,40-42,14,Not Qualified,False
395,Pistons,1988-89,63-19,3,Champ,True
396,Cavaliers,1988-89,57-25,6,FR Exit,True
397,Warriors,1988-89,43-39,11,CSF Exit,False
398,Knicks,1988-89,52-30,8,CSF Exit,True
399,Mavericks,1988-89,38-44,9,Not Qualified,False
400,Hawks,1988-89,52-30,8,FR Exit,False
401,Magic,1989-90,18-64,10,Not Qualified,False
402,Suns,1989-90,54-28,9,CF Exit,True
403,Pacers,1989-90,42-40,10,FR Exit,False
404,Timberwolves,1989-90,22-60,12,Not Qualified,False
405,Jazz,1989-90,55-27,8,FR Exit,True
406,Trail Blazers,1989-90,59-23,4,Runner Up,True
407,Bucks,1989-90,44-38,11,FR Exit,False
408,Lakers,1989-90,63-19,3,CSF Exit,True
409,Kings,1989-90,23-59,12,Not Qualified,False
410,Nuggets,1989-90,43-39,12,FR Exit,False
411,Clippers,1989-90,30-52,13,Not Qualified,False
412,Knicks,1989-90,45-37,7,CSF Exit,False
413,Hawks,1989-90,41-41,10,Not Qualified,False
414,Heat,1989-90,18-64,11,Not Qualified,False
415,Cavaliers,1989-90,42-40,8,FR Exit,False
416,Rockets,1989-90,41-41,13,FR Exit,False
417,Warriors,1989-90,37-45,11,Not Qualified,False
418,Hornets,1989-90,19-63,11,Not Qualified,False
419,SuperSonics,1989-90,41-41,10,Not Qualified,False
420,Nets,1989-90,17-65,11,Not Qualified,False
421,Spurs,1989-90,56-26,6,CSF Exit,True
422,Bullets,1989-90,31-51,14,Not Qualified,False
423,Pistons,1989-90,59-23,4,Champ,True
424,Mavericks,1989-90,47-35,10,FR Exit,False
425,76ers,1989-90,53-29,6,CSF Exit,True
426,Bulls,1989-90,55-27,6,CF Exit,True
427,Celtics,1989-90,52-30,7,FR Exit,False
428,Trail Blazers,1990-91,63-19,4,CF Exit,True
429,Nuggets,1990-91,20-62,10,Not Qualified,False
430,Jazz,1990-91,54-28,4,CSF Exit,True
431,Bullets,1990-91,30-52,14,Not Qualified,False
432,Knicks,1990-91,39-43,13,FR Exit,False
433,Lakers,1990-91,58-24,6,Runner Up,True
434,Spurs,1990-91,55-27,5,FR Exit,True
435,Suns,1990-91,55-27,5,FR Exit,True
436,Warriors,1990-91,44-38,9,CSF Exit,False
437,Nets,1990-91,26-56,11,Not Qualified,False
438,Bulls,1990-91,61-21,4,Champ,True
439,Timberwolves,1990-91,29-53,14,Not Qualified,False
440,76ers,1990-91,44-38,10,CSF Exit,False
441,Hornets,1990-91,26-56,14,Not Qualified,False
442,Heat,1990-91,24-58,12,Not Qualified,False
443,Cavaliers,1990-91,33-49,11,Not Qualified,False
444,Pistons,1990-91,50-32,6,CF Exit,False
445,Magic,1990-91,31-51,10,Not Qualified,False
446,Mavericks,1990-91,28-54,15,Not Qualified,False
447,Pacers,1990-91,41-41,12,FR Exit,False
448,Celtics,1990-91,56-26,6,CSF Exit,True
449,Bucks,1990-91,48-34,9,FR Exit,False
450,Hawks,1990-91,43-39,9,FR Exit,False
451,Clippers,1990-91,31-51,13,Not Qualified,False
452,Rockets,1990-91,52-30,6,FR Exit,True
453,Kings,1990-91,25-57,12,Not Qualified,False
454,SuperSonics,1990-91,41-41,10,FR Exit,False
455,Pacers,1991-92,40-42,10,FR Exit,False
456,Nuggets,1991-92,24-58,14,Not Qualified,False
457,76ers,1991-92,35-47,13,Not Qualified,False
458,Jazz,1991-92,55-27,7,CF Exit,True
459,Bullets,1991-92,25-57,11,Not Qualified,False
460,Cavaliers,1991-92,57-25,4,CF Exit,True
461,Pistons,1991-92,48-34,9,FR Exit,False
462,Hawks,1991-92,38-44,11,Not Qualified,False
463,Bulls,1991-92,67-15,3,Champ,True
464,Spurs,1991-92,47-35,7,FR Exit,False
465,Clippers,1991-92,45-37,11,FR Exit,False
466,Mavericks,1991-92,22-60,11,Not Qualified,False
467,Lakers,1991-92,43-39,11,FR Exit,False
468,Rockets,1991-92,42-40,9,Not Qualified,False
469,Hornets,1991-92,31-51,12,Not Qualified,False
470,Celtics,1991-92,51-31,9,CSF Exit,False
471,Bucks,1991-92,31-51,12,Not Qualified,False
472,Magic,1991-92,21-61,12,Not Qualified,False
473,Knicks,1991-92,51-31,8,CSF Exit,False
474,Heat,1991-92,38-44,8,FR Exit,False
475,Suns,1991-92,53-29,9,CSF Exit,True
476,Kings,1991-92,29-53,12,Not Qualified,False
477,Nets,1991-92,40-42,9,FR Exit,False
478,Trail Blazers,1991-92,57-25,3,Runner Up,True
479,SuperSonics,1991-92,47-35,7,CSF Exit,False
480,Warriors,1991-92,55-27,8,FR Exit,True
481,Timberwolves,1991-92,15-67,10,Not Qualified,False
482,Timberwolves,1992-93,19-63,13,Not Qualified,False
483,Kings,1992-93,25-57,14,Not Qualified,False
484,Pacers,1992-93,41-41,11,FR Exit,False
485,Nuggets,1992-93,36-46,8,Not Qualified,False
486,Rockets,1992-93,55-27,8,CSF Exit,True
487,Clippers,1992-93,41-41,10,FR Exit,False
488,Spurs,1992-93,49-33,10,CSF Exit,True
489,Magic,1992-93,41-41,10,Not Qualified,False
490,Heat,1992-93,36-46,13,Not Qualified,False
491,Mavericks,1992-93,11-71,9,Not Qualified,False
492,Hornets,1992-93,44-38,10,CSF Exit,False
493,Cavaliers,1992-93,54-28,6,CSF Exit,True
494,Jazz,1992-93,47-35,7,FR Exit,False
495,Trail Blazers,1992-93,51-31,7,FR Exit,False
496,Nets,1992-93,43-39,10,FR Exit,False
497,SuperSonics,1992-93,55-27,6,CF Exit,True
498,Pistons,1992-93,40-42,7,Not Qualified,False
499,Suns,1992-93,62-20,4,Runner Up,True
500,Bucks,1992-93,28-54,9,Not Qualified,False
501,Bullets,1992-93,22-60,13,Not Qualified,False
502,76ers,1992-93,26-56,12,Not Qualified,False
503,Hawks,1992-93,43-39,10,FR Exit,False
504,Warriors,1992-93,34-48,12,Not Qualified,False
505,Lakers,1992-93,39-43,10,FR Exit,False
506,Celtics,1992-93,48-34,7,FR Exit,False
507,Bulls,1992-93,57-25,6,Champ,True
508,Knicks,1992-93,60-22,5,CF Exit,True
509,Bullets,1993-94,24-58,15,Not Qualified,False
510,Rockets,1993-94,58-24,5,Champ,True
511,Kings,1993-94,28-54,13,Not Qualified,False
512,Bulls,1993-94,55-27,5,CSF Exit,True
513,Trail Blazers,1993-94,47-35,9,FR Exit,False
514,Heat,1993-94,42-40,8,FR Exit,False
515,Knicks,1993-94,57-25,6,Runner Up,True
516,Suns,1993-94,56-26,5,CSF Exit,True
